word,graphemes
পারত,"['পা', 'র', 'ত']"
গ্যারি,"['গ্যা', 'রি']"
সোবার্সকে,"['সো', 'বা', 'র্স', 'কে']"
ক্যালিসই,"['ক্যা', 'লি', 'স', 'ই']"
স্পেশালিস্ট,"['স্পে', 'শা', 'লি', 'স্ট']"
৩২টির,"['৩', '২', 'টি', 'র']"
ডিত্রসইতে,"['ডি', 'ত্র', 'স', 'ই', 'তে']"
মূল্যসূচকে,"['মূ', 'ল্য', 'সূ', 'চ', 'কে']"
অপরিবর্তিত,"['অ', 'প', 'রি', 'ব', 'র্তি', 'ত']"
ডিত্রস,"['ডি', 'ত্র', 'স']"
শেয়ারের,"['শে', 'য়া', 'রে', 'র']"
ডিত্রসই,"['ডি', 'ত্র', 'স', 'ই']"
বিনিয়োগকারীর,"['বি', 'নি', 'য়ো', 'গ', 'কা', 'রী', 'র']"
গ্রামীণফোন,"['গ্রা', 'মী', 'ণ', 'ফো', 'ন']"
লেনদেনও,"['লে', 'ন', 'দে', 'ন', 'ও']"
ডিত্রসইত্রস,"['ডি', 'ত্র', 'স', 'ই', 'ত্র', 'স']"
পয়েন্টে,"['প', 'য়ে', 'ন্টে']"
সক্রিয়তা,"['স', 'ক্রি', 'য়', 'তা']"
কম্পানির,"['ক', 'ম্পা', 'নি', 'র']"
কম্পানিটির,"['ক', 'ম্পা', 'নি', 'টি', 'র']"
সিত্রসই,"['সি', 'ত্র', 'স', 'ই']"
পাচ্ছেনা,"['পা', 'চ্ছে', 'না']"
মূল্যসূচক,"['মূ', 'ল্য', 'সূ', 'চ', 'ক']"
এক্সচেঞ্জে,"['এ', 'ক্স', 'চে', 'ঞ্জে']"
স্টক,"['স্ট', 'ক']"
শরিয়াহ,"['শ', 'রি', 'য়া', 'হ']"
পুঁজিবাজার,"['পুঁ', 'জি', 'বা', 'জা', 'র']"
পর্যালোচনায়,"['প', 'র্যা', 'লো', 'চ', 'না', 'য়']"
কমেছিল,"['ক', 'মে', 'ছি', 'ল']"
সূচক,"['সূ', 'চ', 'ক']"
দেনায়,"['দে', 'না', 'য়']"
হালুয়া,"['হা', 'লু', 'য়া']"
খেয়েছি,"['খে', 'য়ে', 'ছি']"
পাইলাম,"['পা', 'ই', 'লা', 'ম']"
পরস্থিতি,"['প', 'র', 'স্থি', 'তি']"
খাইতেই,"['খা', 'ই', 'তে', 'ই']"
দুদক,"['দু', 'দ', 'ক']"
গণস্বাসাস্থ্য,"['গ', 'ণ', 'স্বা', 'সা', 'স্থ্য']"
দুদকের,"['দু', 'দ', 'কে', 'র']"
কয়টার,"['ক', 'য়', 'টা', 'র']"
ট্রাস্টি,"['ট্রা', 'স্টি']"
পুত্রসহ,"['পু', 'ত্র', 'স', 'হ']"
কাটবা,"['কা', 'ট', 'বা']"
পয়সায়,"['প', 'য়', 'সা', 'য়']"
ইনজেকশনের,"['ই', 'ন', 'জে', 'ক', 'শ', 'নে', 'র']"
ঠকানো,"['ঠ', 'কা', 'নো']"
করছো,"['ক', 'র', 'ছো']"
জাফরুল্লাহ,"['জা', 'ফ', 'রু', 'ল্লা', 'হ']"
বাটপারি,"['বা', 'ট', 'পা', 'রি']"
দেবা,"['দে', 'বা']"
প্রতারণার,"['প্র', 'তা', 'র', 'ণা', 'র']"
করাইতে,"['ক', 'রা', 'ই', 'তে']"
কম্পানি,"['ক', 'ম্পা', 'নি']"
গণস্বাস্থ্য,"['গ', 'ণ', 'স্বা', 'স্থ্য']"
ছিলই,"['ছি', 'ল', 'ই']"
মন্ত্রণালয়ে,"['ম', 'ন্ত্র', 'ণা', 'ল', 'য়ে']"
অর্থবছর,"['অ', 'র্থ', 'ব', 'ছ', 'র']"
ঘেঁটে,"['ঘেঁ', 'টে']"
আম্ফানের,"['আ', 'ম্ফা', 'নে', 'র']"
প্রণোদনায়,"['প্র', 'ণো', 'দ', 'না', 'য়']"
হানতে,"['হা', 'ন', 'তে']"
ভয়াল,"['ভ', 'য়া', 'ল']"
কাগজপত্র,"['কা', 'গ', 'জ', 'প', 'ত্র']"
বন্যার,"['ব', 'ন্যা', 'র']"
মহামারিসহ,"['ম', 'হা', 'মা', 'রি', 'স', 'হ']"
অর্থবছরেও,"['অ', 'র্থ', 'ব', 'ছ', 'রে', 'ও']"
অপ্রত্যাশিত,"['অ', 'প্র', 'ত্যা', 'শি', 'ত']"
কণ্ঠকে,"['ক', 'ণ্ঠ', 'কে']"
অনাকাঙ্ক্ষিত,"['অ', 'না', 'কা', 'ঙ্ক্ষি', 'ত']"
সুদ,"['সু', 'দ']"
আবেদনগুলো,"['আ', 'বে', 'দ', 'ন', 'গু', 'লো']"
চাকরিজীবীদের,"['চা', 'ক', 'রি', 'জী', 'বী', 'দে', 'র']"
ওত্রমত্রসের,"['ও', 'ত্র', 'ম', 'ত্র', 'সে', 'র']"
টাকাই,"['টা', 'কা', 'ই']"
নিষ্পত্তির,"['নি', 'ষ্প', 'ত্তি', 'র']"
অনিষ্পন্ন,"['অ', 'নি', 'ষ্প', 'ন্ন']"
পরিবারগুলোকে,"['প', 'রি', 'বা', 'র', 'গু', 'লো', 'কে']"
বিক্রিতে,"['বি', 'ক্রি', 'তে']"
ছাড়,"['ছা', 'ড়']"
অসহায়ভাবে,"['অ', 'স', 'হা', 'য়', 'ভা', 'বে']"
রোগীগুলো,"['রো', 'গী', 'গু', 'লো']"
হারিয়েছেন,"['হা', 'রি', 'য়ে', 'ছে', 'ন']"
সামর্থ্যবান,"['সা', 'ম', 'র্থ্য', 'বা', 'ন']"
বেঘোরে,"['বে', 'ঘো', 'রে']"
অন্ততঃ,"['অ', 'ন্ত', 'ত', 'ঃ']"
অগ্রাধিকারভিত্তিতে,"['অ', 'গ্রা', 'ধি', 'কা', 'র', 'ভি', 'ত্তি', 'তে']"
মরতে,"['ম', 'র', 'তে']"
কর্ণধার,"['ক', 'র্ণ', 'ধা', 'র']"
মেয়াদি,"['মে', 'য়া', 'দি']"
অক্সিমিটার,"['অ', 'ক্সি', 'মি', 'টা', 'র']"
স্বাস্থ্যকর্মীদের,"['স্বা', 'স্থ্য', 'ক', 'র্মী', 'দে', 'র']"
সামর্থানুযায়ী,"['সা', 'ম', 'র্থা', 'নু', 'যা', 'য়ী']"
স্থাপনের,"['স্থা', 'প', 'নে', 'র']"
সেন্ট্রাল,"['সে', 'ন্ট্রা', 'ল']"
ক্যানুলা,"['ক্যা', 'নু', 'লা']"
কালক্ষেপণ,"['কা', 'ল', 'ক্ষে', 'প', 'ণ']"
প্যাপ,"['প্যা', 'প']"
পালস,"['পা', 'ল', 'স']"
সিলিন্ডার,"['সি', 'লি', 'ন্ডা', 'র']"
ন্যাজল,"['ন্যা', 'জ', 'ল']"
কনসেন্ট্রেটর,"['ক', 'ন', 'সে', 'ন্ট্রে', 'ট', 'র']"
লাইনের,"['লা', 'ই', 'নে', 'র']"
দাঁড়াতে,"['দাঁ', 'ড়া', 'তে']"
হটস্পট,"['হ', 'ট', 'স্প', 'ট']"
ওঠছে,"['ও', 'ঠ', 'ছে']"
কোনটাতেই,"['কো', 'ন', 'টা', 'তে', 'ই']"
ছড়ালেও,"['ছ', 'ড়া', 'লে', 'ও']"
চিত্রই,"['চি', 'ত্র', 'ই']"
শয্যা,"['শ', 'য্যা']"
নাজুক,"['না', 'জু', 'ক']"
সংশ্লিষ্টরা,"['স', 'ং', 'শ্লি', 'ষ্ট', 'রা']"
দুইশ,"['দু', 'ই', 'শ']"
ভালভাবেই,"['ভা', 'ল', 'ভা', 'বে', 'ই']"
গড়াচ্ছে,"['গ', 'ড়া', 'চ্ছে']"
বারান্দায়,"['বা', 'রা', 'ন্দা', 'য়']"
চট্টগ্রামবাসীর,"['চ', 'ট্ট', 'গ্রা', 'ম', 'বা', 'সী', 'র']"
পৌনে,"['পৌ', 'নে']"
খারাপের,"['খা', 'রা', 'পে', 'র']"
উজাড়,"['উ', 'জা', 'ড়']"
চট্টগ্রামবাসী,"['চ', 'ট্ট', 'গ্রা', 'ম', 'বা', 'সী']"
আপাততঃ,"['আ', 'পা', 'ত', 'ত', 'ঃ']"
মেট্রোপলিটন,"['মে', 'ট্রো', 'প', 'লি', 'ট', 'ন']"
করোনাকালের,"['ক', 'রো', 'না', 'কা', 'লে', 'র']"
জুনিয়র,"['জু', 'নি', 'য়', 'র']"
দুঃসময়ে,"['দু', 'ঃ', 'স', 'ম', 'য়ে']"
চিটাগাং,"['চি', 'টা', 'গা', 'ং']"
ওমেন,"['ও', 'মে', 'ন']"
সংগঠনগুলো,"['স', 'ং', 'গ', 'ঠ', 'ন', 'গু', 'লো']"
হাউসগুলোকে,"['হা', 'উ', 'স', 'গু', 'লো', 'কে']"
ফিল্ড,"['ফি', 'ল্ড']"
জীবনই,"['জী', 'ব', 'ন', 'ই']"
উনশিশো,"['উ', 'ন', 'শি', 'শো']"
ঠেলে,"['ঠে', 'লে']"
দস্যুতার,"['দ', 'স্যু', 'তা', 'র']"
প্রতিদ্বন্দী,"['প্র', 'তি', 'দ্ব', 'ন্দী']"
জন্মগতভাবে,"['জ', 'ন্ম', 'গ', 'ত', 'ভা', 'বে']"
হরিণের,"['হ', 'রি', 'ণে', 'র']"
পাড়া,"['পা', 'ড়া']"
রোমাঞ্চের,"['রো', 'মা', 'ঞ্চে', 'র']"
আজকেই,"['আ', 'জ', 'কে', 'ই']"
ক্রমশই,"['ক্র', 'ম', 'শ', 'ই']"
চেলে,"['চে', 'লে']"
গল্পের,"['গ', 'ল্পে', 'র']"
