word,graphemes
সংমিশ্রণে,"['স', 'ং', 'মি', 'শ্র', 'ণে']"
জাতধর্ম,"['জা', 'ত', 'ধ', 'র্ম']"
অপরাধে,"['অ', 'প', 'রা', 'ধে']"
সাধক,"['সা', 'ধ', 'ক']"
বীতশ্রদ্ধ,"['বী', 'ত', 'শ্র', 'দ্ধ']"
মুখাগ্নি,"['মু', 'খা', 'গ্নি']"
অস্বীকৃতি,"['অ', 'স্বী', 'কৃ', 'তি']"
তথ্যমতে,"['ত', 'থ্য', 'ম', 'তে']"
সেবাশুশ্রূষা,"['সে', 'বা', 'শু', 'শ্রূ', 'ষা']"
মানবগুরুর,"['মা', 'ন', 'ব', 'গু', 'রু', 'র']"
সংজ্ঞাহীন,"['স', 'ং', 'জ্ঞা', 'হী', 'ন']"
লালনকে,"['লা', 'ল', 'ন', 'কে']"
কুষ্টিয়ার,"['কু', 'ষ্টি', 'য়া', 'র']"
ব্রহ্মাণ্ডে,"['ব্র', 'হ্মা', 'ণ্ডে']"
অচৈতন্য,"['অ', 'চৈ', 'ত', 'ন্য']"
আত্মীয়স্বজন,"['আ', 'ত্মী', 'য়', 'স্ব', 'জ', 'ন']"
আখড়া,"['আ', 'খ', 'ড়া']"
লালনের,"['লা', 'ল', 'নে', 'র']"
ভজনা,"['ভ', 'জ', 'না']"
সমাজপতি,"['স', 'মা', 'জ', 'প', 'তি']"
সঙ্গীরা,"['স', 'ঙ্গী', 'রা']"
প্রদর্শিত,"['প্র', 'দ', 'র্শি', 'ত']"
কোনরকমে,"['কো', 'ন', 'র', 'ক', 'মে']"
ভাণ্ডে,"['ভা', 'ণ্ডে']"
মুসলমানের,"['মু', 'স', 'ল', 'মা', 'নে', 'র']"
অন্নজল,"['অ', 'ন্ন', 'জ', 'ল']"
ব্যথিত,"['ব্য', 'থি', 'ত']"
বৈষ্ণব,"['বৈ', 'ষ্ণ', 'ব']"
সহজিয়া,"['স', 'হ', 'জি', 'য়া']"
নীলকরদের,"['নী', 'ল', 'ক', 'র', 'দে', 'র']"
নোমান,"['নো', 'মা', 'ন']"
নদীয়ার,"['ন', 'দী', 'য়া', 'র']"
প্রেক্ষাপট,"['প্রে', 'ক্ষা', 'প', 'ট']"
শহীদের,"['শ', 'হী', 'দে', 'র']"
বিদআত,"['বি', 'দ', 'আ', 'ত']"
সত্যজিৎ,"['স', 'ত্য', 'জি', 'ৎ']"
উপাসনা,"['উ', 'পা', 'স', 'না']"
সংস্কারক,"['স', 'ং', 'স্কা', 'র', 'ক']"
উপাস্য,"['উ', 'পা', 'স্য']"
ব্যতীত,"['ব্য', 'তী', 'ত']"
সংস্কারে,"['স', 'ং', 'স্কা', 'রে']"
আত্মনিয়োগ,"['আ', 'ত্ম', 'নি', 'য়ো', 'গ']"
ইসলামসম্মত,"['ই', 'স', 'লা', 'ম', 'স', 'ম্ম', 'ত']"
অনুষ্ঠানমালা,"['অ', 'নু', 'ষ্ঠা', 'ন', 'মা', 'লা']"
শিরক,"['শি', 'র', 'ক']"
শিষ্যত্ব,"['শি', 'ষ্য', 'ত্ব']"
রোকেয়া,"['রো', 'কে', 'য়া']"
চাঁদপুর,"['চাঁ', 'দ', 'পু', 'র']"
কোরান,"['কো', 'রা', 'ন']"
অবস্থানকালে,"['অ', 'ব', 'স্থা', 'ন', 'কা', 'লে']"
পথপ্রদর্শক,"['প', 'থ', 'প্র', 'দ', 'র্শ', 'ক']"
শিক্ষাগ্রহণের,"['শি', 'ক্ষা', 'গ্র', 'হ', 'ণে', 'র']"
পবিত্র,"['প', 'বি', 'ত্র']"
হজ্জ,"['হ', 'জ্জ']"
পাণ্ডিত্য,"['পা', 'ণ্ডি', 'ত্য']"
বয়সেই,"['ব', 'য়', 'সে', 'ই']"
আবিদা,"['আ', 'বি', 'দা']"
হাদিস,"['হা', 'দি', 'স']"
পরগণা,"['প', 'র', 'গ', 'ণা']"
বিবেকানন্দ,"['বি', 'বে', 'কা', 'ন', 'ন্দ']"
কাদা,"['কা', 'দা']"
অনুসারীরা,"['অ', 'নু', 'সা', 'রী', 'রা']"
বিপরীতে,"['বি', 'প', 'রী', 'তে']"
ভাবেননি,"['ভা', 'বে', 'ন', 'নি']"
বাঁশ,"['বাঁ', 'শ']"
রাজশক্তি,"['রা', 'জ', 'শ', 'ক্তি']"
নারিকেলবাড়িয়া,"['না', 'রি', 'কে', 'ল', 'বা', 'ড়ি', 'য়া']"
বারাসাত,"['বা', 'রা', 'সা', 'ত']"
শহীদুল্লাহ,"['শ', 'হী', 'দু', 'ল্লা', 'হ']"
বিদ্রোহের,"['বি', 'দ্রো', 'হে', 'র']"
প্রাসঙ্গিক,"['প্রা', 'স', 'ঙ্গি', 'ক']"
আঠারোশ,"['আ', 'ঠা', 'রো', 'শ']"
খণ্ডিত,"['খ', 'ণ্ডি', 'ত']"
অবদানকে,"['অ', 'ব', 'দা', 'ন', 'কে']"
সৈন্যদের,"['সৈ', 'ন্য', 'দে', 'র']"
অশ্বারোহী,"['অ', 'শ্বা', 'রো', 'হী']"
বন্দুকধারী,"['ব', 'ন্দু', 'ক', 'ধা', 'রী']"
ঐটিই,"['ঐ', 'টি', 'ই']"
অসঙ্গত,"['অ', 'স', 'ঙ্গ', 'ত']"
তাৎপর্য,"['তা', 'ৎ', 'প', 'র্য']"
বললে,"['ব', 'ল', 'লে']"
স্টুয়ার্টের,"['স্টু', 'য়া', 'র্টে', 'র']"
একত্রিশ,"['এ', 'ক', 'ত্রি', 'শ']"
পদাতিক,"['প', 'দা', 'তি', 'ক']"
দ্বিমাত্রিক,"['দ্বি', 'মা', 'ত্রি', 'ক']"
শাসকবর্গের,"['শা', 'স', 'ক', 'ব', 'র্গে', 'র']"
ন্যায়সঙ্গত,"['ন্যা', 'য়', 'স', 'ঙ্গ', 'ত']"
পাঠায়,"['পা', 'ঠা', 'য়']"
জমিদারদের,"['জ', 'মি', 'দা', 'র', 'দে', 'র']"
বিপ্লবী,"['বি', 'প্ল', 'বী']"
নাসির,"['না', 'সি', 'র']"
১১তম,"['১', '১', 'ত', 'ম']"
নিসার,"['নি', 'সা', 'র']"
মীর,"['মী', 'র']"
শাশকদের,"['শা', 'শ', 'ক', 'দে', 'র']"
বাঁধে,"['বাঁ', 'ধে']"
পলে,"['প', 'লে']"
উদ্ধার,"['উ', 'দ্ধা', 'র']"
আত্মত্যাগ,"['আ', 'ত্ম', 'ত্যা', 'গ']"
অভয়,"['অ', 'ভ', 'য়']"
নারিকেলবাড়িয়ায়,"['না', 'রি', 'কে', 'ল', 'বা', 'ড়ি', 'য়া', 'য়']"
সৈন্যরা,"['সৈ', 'ন্য', 'রা']"
চারিদিক,"['চা', 'রি', 'দি', 'ক']"
কামানের,"['কা', 'মা', 'নে', 'র']"
যুদ্ধরত,"['যু', 'দ্ধ', 'র', 'ত']"
চল্লিশজন,"['চ', 'ল্লি', 'শ', 'জ', 'ন']"
চূর্ণবিচূর্ণ,"['চূ', 'র্ণ', 'বি', 'চূ', 'র্ণ']"
হারান,"['হা', 'রা', 'ন']"
বাঁশের,"['বাঁ', 'শে', 'র']"
কেল্লা,"['কে', 'ল্লা']"
ঘিরে,"['ঘি', 'রে']"
পেয়েই,"['পে', 'য়ে', 'ই']"
স্বাধীনতাকামীদের,"['স্বা', 'ধী', 'ন', 'তা', 'কা', 'মী', 'দে', 'র']"
গোলাবর্ষণে,"['গো', 'লা', 'ব', 'র্ষ', 'ণে']"
অনুসারীদের,"['অ', 'নু', 'সা', 'রী', 'দে', 'র']"
উনিশে,"['উ', 'নি', 'শে']"
ভীষণ,"['ভী', 'ষ', 'ণ']"
কেল্লাতেই,"['কে', 'ল্লা', 'তে', 'ই']"
২০তম,"['২', '০', 'ত', 'ম']"
তিরাশি,"['তি', 'রা', 'শি']"
তিতুমীর,"['তি', 'তু', 'মী', 'র']"
বিরোধিতায়,"['বি', 'রো', 'ধি', 'তা', 'য়']"
অত্যাচারের,"['অ', 'ত্যা', 'চা', 'রে', 'র']"
পরগণার,"['প', 'র', 'গ', 'ণা', 'র']"
বারাসাতের,"['বা', 'রা', 'সা', 'তে', 'র']"
উপনিবেশ,"['উ', 'প', 'নি', 'বে', 'শ']"
ইংরেজদের,"['ই', 'ং', 'রে', 'জ', 'দে', 'র']"
নদীয়া,"['ন', 'দী', 'য়া']"
সমঝোতার,"['স', 'ম', 'ঝো', 'তা', 'র']"
বারাসাতে,"['বা', 'রা', 'সা', 'তে']"
শান্তিপূর্ণভাবে,"['শা', 'ন্তি', 'পূ', 'র্ণ', 'ভা', 'বে']"
প্রজাদের,"['প্র', 'জা', 'দে', 'র']"
ইণ্ডিয়া,"['ই', 'ণ্ডি', 'য়া']"
আনোয়ার,"['আ', 'নো', 'য়া', 'র']"
তিতুমীরের,"['তি', 'তু', 'মী', 'রে', 'র']"
কিছুকেই,"['কি', 'ছু', 'কে', 'ই']"
রাজ্যসীমা,"['রা', 'জ্য', 'সী', 'মা']"
পলাশী,"['প', 'লা', 'শী']"
জীবনাদর্শ,"['জী', 'ব', 'না', 'দ', 'র্শ']"
আন্দোলনগুলির,"['আ', 'ন্দো', 'ল', 'ন', 'গু', 'লি', 'র']"
রাজত্বের,"['রা', 'জ', 'ত্বে', 'র']"
জ্যোতি,"['জ্যো', 'তি']"
মিশনটি,"['মি', 'শ', 'ন', 'টি']"
চাঁদে,"['চাঁ', 'দে']"
আজি,"['আ', 'জি']"
উৎক্ষেপনের,"['উ', 'ৎ', 'ক্ষে', 'প', 'নে', 'র']"
নিউজকে,"['নি', 'উ', 'জ', 'কে']"
উচ্চভিলাষ,"['উ', 'চ্চ', 'ভি', 'লা', 'ষ']"
পাঁচশ,"['পাঁ', 'চ', 'শ']"
বার্ষিকী,"['বা', 'র্ষি', 'কী']"
র্বিজ্ঞানীরা,"['র্বি', 'জ্ঞা', 'নী', 'রা']"
মহাকাশযানপাঠাচ্ছে,"['ম', 'হা', 'কা', 'শ', 'যা', 'ন', 'পা', 'ঠা', 'চ্ছে']"
আনন্দিত,"['আ', 'ন', 'ন্দি', 'ত']"
তারিখেই,"['তা', 'রি', 'খে', 'ই']"
হামিরি,"['হা', 'মি', 'রি']"
অভিযানটি,"['অ', 'ভি', 'যা', 'ন', 'টি']"
অভিযানের,"['অ', 'ভি', 'যা', 'নে', 'র']"
কাকতালীয়ভাবে,"['কা', 'ক', 'তা', 'লী', 'য়', 'ভা', 'বে']"
প্রতিকূল,"['প্র', 'তি', 'কূ', 'ল']"
মিশনটির,"['মি', 'শ', 'ন', 'টি', 'র']"
মঙ্গলে,"['ম', 'ঙ্গ', 'লে']"
দুবার,"['দু', 'বা', 'র']"
গ্রহে,"['গ্র', 'হে']"
৫০তম,"['৫', '০', 'ত', 'ম']"
পর্যায়,"['প', 'র্যা', 'য়']"
লোকমুখে,"['লো', 'ক', 'মু', 'খে']"
ভাসানচরে,"['ভা', 'সা', 'ন', 'চ', 'রে']"
বিবুদ্ধেও,"['বি', 'বু', 'দ্ধে', 'ও']"
যোগদানের,"['যো', 'গ', 'দা', 'নে', 'র']"
বাংলাভাষী,"['বা', 'ং', 'লা', 'ভা', 'ষী']"
প্রথমবারের,"['প্র', 'থ', 'ম', 'বা', 'রে', 'র']"
ধুবড়ী,"['ধু', 'ব', 'ড়ী']"
কারাবাস,"['কা', 'রা', 'বা', 'স']"
তাঁরই,"['তাঁ', 'র', 'ই']"
শাসকদের,"['শা', 'স', 'ক', 'দে', 'র']"
ভাসানচরের,"['ভা', 'সা', 'ন', 'চ', 'রে', 'র']"
ন্যাপ,"['ন্যা', 'প']"
হস্তান্তর,"['হ', 'স্তা', 'ন্ত', 'র']"
স্বায়ত্তশাসনকে,"['স্বা', 'য়', 'ত্ত', 'শা', 'স', 'ন', 'কে']"
রাষ্ট্রে,"['রা', 'ষ্ট্রে']"
পীরও,"['পী', 'র', 'ও']"
নেতৃত্বের,"['নে', 'তৃ', 'ত্বে', 'র']"
চরিত্রে,"['চ', 'রি', 'ত্রে']"
ন্যাশানাল,"['ন্যা', 'শা', 'না', 'ল']"
বাষ্ট্রকে,"['বা', 'ষ্ট্র', 'কে']"
ওইখানে,"['ও', 'ই', 'খা', 'নে']"
কাউন্সিল,"['কা', 'উ', 'ন্সি', 'ল']"
প্রশ্নেই,"['প্র', 'শ্নে', 'ই']"
পড়াশোনার,"['প', 'ড়া', 'শো', 'না', 'র']"
কিছুকাল,"['কি', 'ছু', 'কা', 'ল']"
ধানগড়া,"['ধা', 'ন', 'গ', 'ড়া']"
শৈশবে,"['শৈ', 'শ', 'বে']"
পিতামাতা,"['পি', 'তা', 'মা', 'তা']"
অনাড়ম্বর,"['অ', 'না', 'ড়', 'ম্ব', 'র']"
১২ই,"['১', '২', 'ই']"
নেননি,"['নে', 'ন', 'নি']"
সিরাজগঞ্জ,"['সি', 'রা', 'জ', 'গ', 'ঞ্জ']"
কাটিয়েছিলেন,"['কা', 'টি', 'য়ে', 'ছি', 'লে', 'ন']"
সাহচর্যে,"['সা', 'হ', 'চ', 'র্যে']"
সাদামাটা,"['সা', 'দা', 'মা', 'টা']"
সংগ্রামী,"['স', 'ং', 'গ্রা', 'মী']"
কাগমারি,"['কা', 'গ', 'মা', 'রি']"
বিদ্যাশিখার,"['বি', 'দ্যা', 'শি', 'খা', 'র']"
দেওবন্দ,"['দে', 'ও', 'ব', 'ন্দ']"
জীবনযাপন,"['জী', 'ব', 'ন', 'যা', 'প', 'ন']"
সাতচল্লিশ,"['সা', 'ত', 'চ', 'ল্লি', 'শ']"
একশ,"['এ', 'ক', 'শ']"
সর্বদলীয়,"['স', 'র্ব', 'দ', 'লী', 'য়']"
স্বৈরশাসন,"['স্বৈ', 'র', 'শা', 'স', 'ন']"
মাকসুদ,"['মা', 'ক', 'সু', 'দ']"
আজীবন,"['আ', 'জী', 'ব', 'ন']"
পরিষদেরও,"['প', 'রি', 'ষ', 'দে', 'র', 'ও']"
ব্যক্তিগতভাবে,"['ব্য', 'ক্তি', 'গ', 'ত', 'ভা', 'বে']"
উদ্যোগেই,"['উ', 'দ্যো', 'গে', 'ই']"
রেখেছিলেন,"['রে', 'খে', 'ছি', 'লে', 'ন']"
শিক্ষাবিদ,"['শি', 'ক্ষা', 'বি', 'দ']"
দিনগুলোতেও,"['দি', 'ন', 'গু', 'লো', 'তে', 'ও']"
সন্তোষে,"['স', 'ন্তো', 'ষে']"
অভিমুখে,"['অ', 'ভি', 'মু', 'খে']"
টাঙ্গাইলের,"['টা', 'ঙ্গা', 'ই', 'লে', 'র']"
সংগ্রমী,"['স', 'ং', 'গ্র', 'মী']"
অন্তিম,"['অ', 'ন্তি', 'ম']"
আরেকবার,"['আ', 'রে', 'ক', 'বা', 'র']"
আলোচনায়,"['আ', 'লো', 'চ', 'না', 'য়']"
বসেন,"['ব', 'সে', 'ন']"
আর্বিভূত,"['আ', 'র্বি', 'ভূ', 'ত']"
পঞ্চাশের,"['প', 'ঞ্চা', 'শে', 'র']"
আটষট্টির,"['আ', 'ট', 'ষ', 'ট্টি', 'র']"
অসন্তোষকে,"['অ', 'স', 'ন্তো', 'ষ', 'কে']"
রাষ্ট্রকাঠামো,"['রা', 'ষ্ট্র', 'কা', 'ঠা', 'মো']"
মামলার,"['মা', 'ম', 'লা', 'র']"
সূত্রপাত,"['সূ', 'ত্র', 'পা', 'ত']"
গ্রামের,"['গ্রা', 'মে', 'র']"
দশতেই,"['দ', 'শ', 'তে', 'ই']"
গুরত্বপূর্ণ,"['গু', 'র', 'ত্ব', 'পূ', 'র্ণ']"
দূরদর্শী,"['দূ', 'র', 'দ', 'র্শী']"
ভাসানীর,"['ভা', 'সা', 'নী', 'র']"
পেশাজীবীসহ,"['পে', 'শা', 'জী', 'বী', 'স', 'হ']"
প্রত্যাহারের,"['প্র', 'ত্যা', 'হা', 'রে', 'র']"
স্বৈরশাসনের,"['স্বৈ', 'র', 'শা', 'স', 'নে', 'র']"
গণআন্দোলনে,"['গ', 'ণ', 'আ', 'ন্দো', 'ল', 'নে']"
আগরতলা,"['আ', 'গ', 'র', 'ত', 'লা']"
সমাবেশ,"['স', 'মা', 'বে', 'শ']"
কাওয়াখালিতে,"['কা', 'ও', 'য়া', 'খা', 'লি', 'তে']"
গ্রহীত,"['গ্র', 'হী', 'ত']"
পরিষদের,"['প', 'রি', 'ষ', 'দে', 'র']"
আসামের,"['আ', 'সা', 'মে', 'র']"
জমিদারি,"['জ', 'মি', 'দা', 'রি']"
খাজনার,"['খা', 'জ', 'না', 'র']"
মকসুদ,"['ম', 'ক', 'সু', 'দ']"
সম্মোলন,"['স', 'ম্মো', 'ল', 'ন']"
নির্ধারণসহ,"['নি', 'র্ধা', 'র', 'ণ', 'স', 'হ']"
লীগে,"['লী', 'গে']"
দ্বি,['দ্বি']
আফ্রিকার,"['আ', 'ফ্রি', 'কা', 'র']"
সংসদের,"['স', 'ং', 'স', 'দে', 'র']"
সেলামি,"['সে', 'লা', 'মি']"
বহুবিধ,"['ব', 'হু', 'বি', 'ধ']"
সিরাজগঞ্জের,"['সি', 'রা', 'জ', 'গ', 'ঞ্জে', 'র']"
খাতক,"['খা', 'ত', 'ক']"
নিরীখ,"['নি', 'রী', 'খ']"
নজরবন্দি,"['ন', 'জ', 'র', 'ব', 'ন্দি']"
সৌহার্দ্যের,"['সৌ', 'হা', 'র্দ্যে', 'র']"
ফারাক্কা,"['ফা', 'রা', 'ক্কা']"
আব্দুল,"['আ', 'ব্দু', 'ল']"
পল্টন,"['প', 'ল্ট', 'ন']"
সমতার,"['স', 'ম', 'তা', 'র']"
উনিশশ',"['উ', 'নি', 'শ', 'শ', ""'""]"
ময়দানে,"['ম', 'য়', 'দা', 'নে']"
মরুণাকরণের,"['ম', 'রু', 'ণা', 'ক', 'র', 'ণে', 'র']"
সেইসময়,"['সে', 'ই', 'স', 'ম', 'য়']"
সত্তর,"['স', 'ত্ত', 'র']"
নিপীড়ন,"['নি', 'পী', 'ড়', 'ন']"
গঠনমূলক,"['গ', 'ঠ', 'ন', 'মূ', 'ল', 'ক']"
মাহবুবউল্লাহ,"['মা', 'হ', 'বু', 'ব', 'উ', 'ল্লা', 'হ']"
অভ্যুদয়ের,"['অ', 'ভ্যু', 'দ', 'য়ে', 'র']"
মজলুম,"['ম', 'জ', 'লু', 'ম']"
জননেতা,"['জ', 'ন', 'নে', 'তা']"
ঔপনিবেশিকতা,"['ঔ', 'প', 'নি', 'বে', 'শি', 'ক', 'তা']"
কেন্দ্রেই,"['কে', 'ন্দ্রে', 'ই']"
দাশের,"['দা', 'শে', 'র']"
সম্বোধন,"['স', 'ম্বো', 'ধ', 'ন']"
ভক্তরা,"['ভ', 'ক্ত', 'রা']"
চিত্তরঞ্জন,"['চি', 'ত্ত', 'র', 'ঞ্জ', 'ন']"
দীক্ষা,"['দী', 'ক্ষা']"
ভাসানী,"['ভা', 'সা', 'নী']"
হামিদ,"['হা', 'মি', 'দ']"
সাম্রাজ্যবাদ,"['সা', 'ম্রা', 'জ্য', 'বা', 'দ']"
নবম,"['ন', 'ব', 'ম']"
সামন্তবাদের,"['সা', 'ম', 'ন্ত', 'বা', 'দে', 'র']"
দেশটিকে,"['দে', 'শ', 'টি', 'কে']"
চ্যালেঞ্জটি,"['চ্যা', 'লে', 'ঞ্জ', 'টি']"
সহায়ক,"['স', 'হা', 'য়', 'ক']"
গ্যাস,"['গ্যা', 'স']"
মহাকাশযাত্রা,"['ম', 'হা', 'কা', 'শ', 'যা', 'ত্রা']"
আমিরাতসহ,"['আ', 'মি', 'রা', 'ত', 'স', 'হ']"
উচ্চাভিলাষ,"['উ', 'চ্চা', 'ভি', 'লা', 'ষ']"
ডিজাইন,"['ডি', 'জা', 'ই', 'ন']"
ব্রিফিং,"['ব্রি', 'ফি', 'ং']"
মঙ্গলের,"['ম', 'ঙ্গ', 'লে', 'র']"
হোপ,"['হো', 'প']"
অনুপ্রেরণার,"['অ', 'নু', 'প্রে', 'র', 'ণা', 'র']"
উৎক্ষেপণের,"['উ', 'ৎ', 'ক্ষে', 'প', 'ণে', 'র']"
জ্ঞানভিত্তিক,"['জ্ঞা', 'ন', 'ভি', 'ত্তি', 'ক']"
উদ্বোধনী,"['উ', 'দ্বো', 'ধ', 'নী']"
ধারাবাহিকতা,"['ধা', 'রা', 'বা', 'হি', 'ক', 'তা']"
চেয়েছে,"['চে', 'য়ে', 'ছে']"
লিডস,"['লি', 'ড', 'স']"
দ্বিতীয়টা,"['দ্বি', 'তী', 'য়', 'টা']"
স্বায়িত্বশাসনের,"['স্বা', 'য়ি', 'ত্ব', 'শা', 'স', 'নে', 'র']"
আইয়ুব,"['আ', 'ই', 'য়ু', 'ব']"
সর্বস্তরে,"['স', 'র্ব', 'স্ত', 'রে']"
চেয়েছিলাম,"['চে', 'য়ে', 'ছি', 'লা', 'ম']"
থাকবেনা,"['থা', 'ক', 'বে', 'না']"
অধিকারটা,"['অ', 'ধি', 'কা', 'র', 'টা']"
বিশ্ববিদ্যালয়কে,"['বি', 'শ্ব', 'বি', 'দ্যা', 'ল', 'য়', 'কে']"
অধ্যপক,"['অ', 'ধ্য', 'প', 'ক']"
সিরাজুল,"['সি', 'রা', 'জু', 'ল']"
বাঁধলো,"['বাঁ', 'ধ', 'লো']"
নেশনের,"['নে', 'শ', 'নে', 'র']"
উত্থান,"['উ', 'ত্থা', 'ন']"
বামগণতান্ত্রিক,"['বা', 'ম', 'গ', 'ণ', 'তা', 'ন্ত্রি', 'ক']"
আদর্শিক,"['আ', 'দ', 'র্শি', 'ক']"
দ্বিধা,"['দ্বি', 'ধা']"
হাইয়েস্ট,"['হা', 'ই', 'য়ে', 'স্ট']"
শতবছরের,"['শ', 'ত', 'ব', 'ছ', 'রে', 'র']"
দাঁড়ালো,"['দাঁ', 'ড়া', 'লো']"
বাধাগ্রস্ত,"['বা', 'ধা', 'গ্র', 'স্ত']"
দুইবার,"['দু', 'ই', 'বা', 'র']"
জায়গাটি,"['জা', 'য়', 'গা', 'টি']"
বলেছিলো,"['ব', 'লে', 'ছি', 'লো']"
সরকারপন্থী,"['স', 'র', 'কা', 'র', 'প', 'ন্থী']"
রুশাদ,"['রু', 'শা', 'দ']"
কোন্দল,"['কো', 'ন্দ', 'ল']"
ঢাবি,"['ঢা', 'বি']"
প্রতিষ্ঠায়,"['প্র', 'তি', 'ষ্ঠা', 'য়']"
নাথান,"['না', 'থা', 'ন']"
দু'টি,"['দু', ""'"", 'টি']"
স্যাডলার,"['স্যা', 'ড', 'লা', 'র']"
ফরিদী,"['ফ', 'রি', 'দী']"
ঢাবিতে,"['ঢা', 'বি', 'তে']"
ক্লাসে,"['ক্লা', 'সে']"
অধ্যাদেশে,"['অ', 'ধ্যা', 'দে', 'শে']"
রাখায়,"['রা', 'খা', 'য়']"
১৯৭৩,"['১', '৯', '৭', '৩']"
রাজাবাজারের,"['রা', 'জা', 'বা', 'জা', 'রে', 'র']"
একাংশ,"['এ', 'কা', 'ং', 'শ']"
বিঘ্নিত,"['বি', 'ঘ্নি', 'ত']"
আইনসংগত,"['আ', 'ই', 'ন', 'স', 'ং', 'গ', 'ত']"
ষাটোর্ধ,"['ষা', 'টো', 'র্ধ']"
পিটিয়ে,"['পি', 'টি', 'য়ে']"
মারল,"['মা', 'র', 'ল']"
অধ্যাদেশ,"['অ', 'ধ্যা', 'দে', 'শ']"
বঙ্গভঙ্গ,"['ব', 'ঙ্গ', 'ভ', 'ঙ্গ']"
রদ,"['র', 'দ']"
বিরোধিতার,"['বি', 'রো', 'ধি', 'তা', 'র']"
আসামকে,"['আ', 'সা', 'ম', 'কে']"
রাজকীয়,"['রা', 'জ', 'কী', 'য়']"
স্বায়িত্বশাসিত,"['স্বা', 'য়ি', 'ত্ব', 'শা', 'সি', 'ত']"
ধারাবাহিকতায়,"['ধা', 'রা', 'বা', 'হি', 'ক', 'তা', 'য়']"
পকিস্তানে,"['প', 'কি', 'স্তা', 'নে']"
ক্ষতিপূরণ,"['ক্ষ', 'তি', 'পূ', 'র', 'ণ']"
ইতিহাসবিদদের,"['ই', 'তি', 'হা', 'স', 'বি', 'দ', 'দে', 'র']"
প্রদেশ,"['প্র', 'দে', 'শ']"
অধ্যাদেশের,"['অ', 'ধ্যা', 'দে', 'শে', 'র']"
বুদ্ধিবৃত্তিক,"['বু', 'দ্ধি', 'বৃ', 'ত্তি', 'ক']"
গায়েন,"['গা', 'য়ে', 'ন']"
অপরটি,"['অ', 'প', 'র', 'টি']"
শিক্ষকদের,"['শি', 'ক্ষ', 'ক', 'দে', 'র']"
ওতপ্রোতভাবে,"['ও', 'ত', 'প্রো', 'ত', 'ভা', 'বে']"
স্বায়িত্বশাসন,"['স্বা', 'য়ি', 'ত্ব', 'শা', 'স', 'ন']"
শিক্ষকরা,"['শি', 'ক্ষ', 'ক', 'রা']"
খর্ব,"['খ', 'র্ব']"
যেনো,"['যে', 'নো']"
কাবেরী,"['কা', 'বে', 'রী']"
মুক্তচিন্তা,"['মু', 'ক্ত', 'চি', 'ন্তা']"
এরিস্টটলেরও,"['এ', 'রি', 'স্ট', 'ট', 'লে', 'র', 'ও']"
সেকেণ্ডে,"['সে', 'কে', 'ণ্ডে']"
মরেও,"['ম', 'রে', 'ও']"
নতুনত্ব,"['ন', 'তু', 'ন', 'ত্ব']"
যেগুলি,"['যে', 'গু', 'লি']"
দেখিয়েছিলেন,"['দে', 'খি', 'য়ে', 'ছি', 'লে', 'ন']"
কারিগর,"['কা', 'রি', 'গ', 'র']"
স্থূল,"['স্থূ', 'ল']"
উত্তেজিত,"['উ', 'ত্তে', 'জি', 'ত']"
স্বত্ত্বা,"['স্ব', 'ত্ত্বা']"
জীবন্ত,"['জী', 'ব', 'ন্ত']"
আঘাতে,"['আ', 'ঘা', 'তে']"
আবিষ্কারে,"['আ', 'বি', 'ষ্কা', 'রে']"
গাছকে,"['গা', 'ছ', 'কে']"
গাছ,"['গা', 'ছ']"
দেখান,"['দে', 'খা', 'ন']"
মুন্সীগঞ্জের,"['মু', 'ন্সী', 'গ', 'ঞ্জে', 'র']"
সংশ্লেষ,"['স', 'ং', 'শ্লে', 'ষ']"
বাড়িটিতে,"['বা', 'ড়ি', 'টি', 'তে']"
একতলা,"['এ', 'ক', 'ত', 'লা']"
ইন্সটিটিউশন,"['ই', 'ন্স', 'টি', 'টি', 'উ', 'শ', 'ন']"
রক্ষার্থে,"['র', 'ক্ষা', 'র্থে']"
অব্যক্ত,"['অ', 'ব্য', 'ক্ত']"
বিজ্ঞানও,"['বি', 'জ্ঞা', 'ন', 'ও']"
সংরক্ষণাগার,"['স', 'ং', 'র', 'ক্ষ', 'ণা', 'গা', 'র']"
অপূর্ব,"['অ', 'পূ', 'র্ব']"
বাড়িটি,"['বা', 'ড়ি', 'টি']"
সাড়াকে,"['সা', 'ড়া', 'কে']"
জড়বস্তুর,"['জ', 'ড়', 'ব', 'স্তু', 'র']"
সিভি,"['সি', 'ভি']"
প্রফুল্ল,"['প্র', 'ফু', 'ল্ল']"
প্রদর্শনের,"['প্র', 'দ', 'র্শ', 'নে', 'র']"
অনুপ্রাণিত,"['অ', 'নু', 'প্রা', 'ণি', 'ত']"
প্রমুখ,"['প্র', 'মু', 'খ']"
নামকরা,"['না', 'ম', 'ক', 'রা']"
মেঘনাথ,"['মে', 'ঘ', 'না', 'থ']"
লক্ষ্যগুণ,"['ল', 'ক্ষ্য', 'গু', 'ণ']"
রাখত,"['রা', 'খ', 'ত']"
জড়,"['জ', 'ড়']"
সাহা,"['সা', 'হা']"
রামান,"['রা', 'মা', 'ন']"
ক্রেসকোগ্রাফ,"['ক্রে', 'স', 'কো', 'গ্রা', 'ফ']"
উচ্চশিক্ষার,"['উ', 'চ্চ', 'শি', 'ক্ষা', 'র']"
